-1.2065;0.42949;1.2157;-1.3834;1.142;1.2191;1.6525;-0.7154;-1.5467;0.46118;0.22616;1.1143;0.070342;-0.80507;1.7044;0.86195
0.29522;0.45236;0.69281;0.23302;-1.2864;-0.6364;-0.61071;1.8988;-0.84899;0.46616;0.82967;-0.51508;-1.5168;-1.9166;4.6293;0.5971
-0.32511;0.21785;-0.59206;-0.03061;0.98999;0.26505;0.4618;0.17536;-0.63318;-0.47604;-0.47199;-0.022046;-0.099375;-0.58224;-0.84506;0.17438
-0.73044;0.46444;-0.87194;-2.1295;1.4008;-1.4;2.3525;0.90258;-0.21618;2.4654;1.0859;2.028;0.18453;0.22751;0.36815;0.027109
0.14785;-0.71301;-0.21035;0.064578;0.74118;-0.19716;0.46989;-0.16912;0.13672;-0.28112;0.28782;-0.18391;-0.47123;0.81735;-1.5282;0.27952
1.4742;-1.4649;1.1473;-0.60018;0.4705;-0.078087;-0.74468;-2.0363;-0.35356;0.48478;-1.7173;0.65869;1.5869;1.1129;-1.1017;0.15494
-0.56955;1.26;-1.6401;-1.7156;0.13504;-1.4596;0.34994;-0.81209;0.47792;1.9282;0.62171;1.186;-0.526;-0.10159;0.10011;-0.43485
1.4775;-1.215;-0.055337;0.050812;-1.9779;-1.1147;-0.73168;0.33764;2.1102;-0.42925;-0.078035;-1.1501;1.1652;0.21658;-1.1137;0.40407
-0.079493;-1.2383;0.43304;-0.35667;1.8261;0.092983;-0.0053375;0.012072;0.017078;-0.57952;0.51842;-0.72261;-0.018794;0.66156;-0.34722;-0.078206
0.79494;-0.23622;0.11296;-0.10197;2.8695;-0.40086;0.02338;-1.0907;0.64801;-0.84583;-1.5021;0.16151;1.335;1.098;-0.17622;-0.26707
